# Pedejas izmainas/Last updated 09.01.2020.
ID,Total
1kmX335Y276,5
1kmX335Y277,5
1kmX335Y279,5
1kmX335Y280,15
1kmX335Y281,18
1kmX335Y282,5
1kmX335Y283,15
1kmX335Y284,15
1kmX335Y285,5
1kmX335Y286,5
1kmX335Y287,12
1kmX335Y288,5
1kmX335Y289,5
1kmX335Y291,5
1kmX335Y305,5
1kmX335Y307,5
1kmX335Y313,5
1kmX335Y314,5
1kmX335Y315,5
1kmX336Y241,5
1kmX336Y245,5
1kmX336Y247,12
1kmX336Y248,5
1kmX336Y249,5
1kmX336Y250,5
1kmX336Y252,5
1kmX336Y261,5
1kmX336Y262,5
1kmX336Y263,12
1kmX336Y264,5
1kmX336Y265,5
1kmX336Y266,5
1kmX336Y268,5
1kmX336Y269,5
1kmX336Y270,5
1kmX336Y271,5
1kmX336Y273,261
1kmX336Y274,98
1kmX336Y275,5
1kmX336Y277,5
1kmX336Y279,5
1kmX336Y280,5
1kmX336Y281,12
1kmX336Y282,5
1kmX336Y283,17
1kmX336Y284,20
1kmX336Y285,174
1kmX336Y286,18
1kmX336Y287,5
1kmX336Y289,5
1kmX336Y290,16
1kmX336Y291,5
1kmX336Y292,5
1kmX336Y293,5
1kmX336Y315,5
1kmX337Y241,5
1kmX337Y247,5
1kmX337Y248,5
1kmX337Y249,5
1kmX337Y261,5
1kmX337Y262,5
1kmX337Y263,73
1kmX337Y264,5
1kmX337Y265,5
1kmX337Y266,5
1kmX337Y267,5
1kmX337Y268,5
1kmX337Y270,5
1kmX337Y271,5
1kmX337Y274,5
1kmX337Y279,5
1kmX337Y280,28
1kmX337Y281,5
1kmX337Y282,5
1kmX337Y283,5
1kmX337Y284,5
1kmX337Y285,5
1kmX337Y286,17
1kmX337Y288,5
1kmX337Y290,5
1kmX337Y292,12
1kmX337Y302,5
1kmX337Y315,5
1kmX337Y316,5
1kmX338Y258,5
1kmX338Y259,5
1kmX338Y260,5
1kmX338Y261,5
1kmX338Y262,5
1kmX338Y263,26
1kmX338Y264,5
1kmX338Y265,19
1kmX338Y266,5
1kmX338Y267,5
1kmX338Y268,15
1kmX338Y269,12
1kmX338Y270,19
1kmX338Y271,5
1kmX338Y273,17
1kmX338Y274,277
1kmX338Y275,23
1kmX338Y276,44
1kmX338Y277,5
1kmX338Y279,5
1kmX338Y280,5
1kmX338Y281,5
1kmX338Y282,5
1kmX338Y284,5
1kmX338Y285,5
1kmX338Y286,5
1kmX338Y287,5
1kmX338Y288,5
1kmX338Y291,5
1kmX338Y292,43
1kmX338Y308,5
1kmX338Y317,15
1kmX339Y248,5
1kmX339Y252,5
1kmX339Y253,5
1kmX339Y258,5
1kmX339Y259,5
1kmX339Y261,5
1kmX339Y262,5
1kmX339Y264,5
1kmX339Y265,5
1kmX339Y266,5
1kmX339Y268,5
1kmX339Y269,5
1kmX339Y270,5
1kmX339Y271,5
1kmX339Y272,16
1kmX339Y273,12
1kmX339Y274,218
1kmX339Y275,18
1kmX339Y276,11
1kmX339Y277,5
1kmX339Y278,5
1kmX339Y281,5
1kmX339Y282,5
1kmX339Y283,13
1kmX339Y284,5
1kmX339Y285,5
1kmX339Y286,5
1kmX339Y287,5
1kmX339Y288,52
1kmX339Y289,5
1kmX339Y290,12
1kmX339Y291,82
1kmX339Y292,5
1kmX339Y294,5
1kmX339Y295,5
1kmX339Y302,5
1kmX339Y309,5
1kmX339Y317,12
1kmX339Y318,23
1kmX340Y248,5
1kmX340Y250,5
1kmX340Y251,14
1kmX340Y252,5
1kmX340Y257,5
1kmX340Y260,5
1kmX340Y261,37
1kmX340Y262,29
1kmX340Y263,5
1kmX340Y264,5
1kmX340Y265,5
1kmX340Y266,5
1kmX340Y267,5
1kmX340Y268,14
1kmX340Y269,5
1kmX340Y271,5
1kmX340Y272,5
1kmX340Y273,5
1kmX340Y274,5
1kmX340Y275,5
1kmX340Y276,5
1kmX340Y277,5
1kmX340Y281,5
1kmX340Y284,5
1kmX340Y286,5
1kmX340Y287,5
1kmX340Y288,5
1kmX340Y289,16
1kmX340Y290,223
1kmX340Y291,134
1kmX340Y292,11
1kmX340Y293,5
1kmX340Y311,5
1kmX340Y318,13
1kmX340Y319,5
1kmX340Y320,18
1kmX341Y237,5
1kmX341Y250,5
1kmX341Y251,5
1kmX341Y252,5
1kmX341Y253,5
1kmX341Y256,5
1kmX341Y258,5
1kmX341Y259,5
1kmX341Y260,5
1kmX341Y261,13
1kmX341Y262,60
1kmX341Y263,5
1kmX341Y264,5
1kmX341Y266,5
1kmX341Y267,87
1kmX341Y268,29
1kmX341Y269,5
1kmX341Y271,5
1kmX341Y272,5
1kmX341Y273,5
1kmX341Y274,5
1kmX341Y275,17
1kmX341Y276,12
1kmX341Y277,5
1kmX341Y280,5
1kmX341Y281,5
1kmX341Y285,5
1kmX341Y286,5
1kmX341Y288,5
1kmX341Y290,5
1kmX341Y291,5
1kmX341Y292,35
1kmX341Y293,5
1kmX341Y294,5
1kmX341Y301,5
1kmX341Y309,5
1kmX341Y310,42
1kmX341Y318,5
1kmX341Y319,21
1kmX341Y320,19
1kmX341Y321,177
1kmX341Y322,5
1kmX342Y239,5
1kmX342Y246,5
1kmX342Y247,5
1kmX342Y248,5
1kmX342Y250,5
1kmX342Y251,5
1kmX342Y252,5
1kmX342Y253,5
1kmX342Y254,17
1kmX342Y255,5
1kmX342Y256,5
1kmX342Y257,5
1kmX342Y258,39
1kmX342Y259,28
1kmX342Y260,5
1kmX342Y261,5
1kmX342Y262,12
1kmX342Y263,5
1kmX342Y265,5
1kmX342Y267,19
1kmX342Y268,5
1kmX342Y271,5
1kmX342Y272,25
1kmX342Y273,5
1kmX342Y274,5
1kmX342Y275,5
1kmX342Y277,5
1kmX342Y280,12
1kmX342Y281,5
1kmX342Y282,5
1kmX342Y286,5
1kmX342Y289,15
1kmX342Y290,5
1kmX342Y291,5
1kmX342Y292,22
1kmX342Y299,5
1kmX342Y303,5
1kmX342Y304,5
1kmX342Y309,5
1kmX342Y318,5
1kmX342Y323,5
1kmX343Y240,5
1kmX343Y241,5
1kmX343Y244,5
1kmX343Y245,5
1kmX343Y248,19
1kmX343Y249,85
1kmX343Y251,5
1kmX343Y252,5
1kmX343Y253,5
1kmX343Y255,5
1kmX343Y256,5
1kmX343Y257,5
1kmX343Y258,20
1kmX343Y259,87
1kmX343Y260,13
1kmX343Y263,5
1kmX343Y265,5
1kmX343Y266,11
1kmX343Y267,5
1kmX343Y269,5
1kmX343Y271,5
1kmX343Y272,5
1kmX343Y273,5
1kmX343Y275,5
1kmX343Y280,5
1kmX343Y281,5
1kmX343Y284,5
1kmX343Y286,5
1kmX343Y287,5
1kmX343Y288,5
1kmX343Y289,5
1kmX343Y291,5
1kmX343Y292,58
1kmX343Y294,5
1kmX343Y298,5
1kmX343Y303,5
1kmX343Y306,5
1kmX343Y323,5
1kmX343Y325,5
1kmX343Y327,5
1kmX343Y330,5
1kmX343Y331,5
1kmX343Y332,5
1kmX343Y334,5
1kmX343Y337,5
1kmX343Y343,5
1kmX344Y242,5
1kmX344Y248,24
1kmX344Y249,155
1kmX344Y250,11
1kmX344Y252,18
1kmX344Y257,5
1kmX344Y258,12
1kmX344Y259,22
1kmX344Y260,5
1kmX344Y261,5
1kmX344Y264,19
1kmX344Y265,5
1kmX344Y267,5
1kmX344Y268,5
1kmX344Y269,5
1kmX344Y270,5
1kmX344Y272,11
1kmX344Y273,5
1kmX344Y274,5
1kmX344Y275,5
1kmX344Y276,5
1kmX344Y282,5
1kmX344Y283,5
1kmX344Y284,5
1kmX344Y286,41
1kmX344Y287,12
1kmX344Y288,5
1kmX344Y289,5
1kmX344Y290,5
1kmX344Y291,20
1kmX344Y292,5
1kmX344Y293,5
1kmX344Y294,5
1kmX344Y298,5
1kmX344Y299,5
1kmX344Y311,5
1kmX344Y325,5
1kmX344Y326,5
1kmX344Y327,5
1kmX344Y330,5
1kmX344Y332,5
1kmX344Y333,5
1kmX344Y334,5
1kmX344Y335,5
1kmX344Y338,5
1kmX344Y340,5
1kmX344Y346,5
1kmX344Y347,5
1kmX345Y243,5
1kmX345Y246,5
1kmX345Y248,15
1kmX345Y249,11
1kmX345Y250,5
1kmX345Y254,5
1kmX345Y255,5
1kmX345Y258,30
1kmX345Y261,5
1kmX345Y264,53
1kmX345Y265,5
1kmX345Y266,5
1kmX345Y267,5
1kmX345Y268,5
1kmX345Y270,12
1kmX345Y272,5
1kmX345Y273,5
1kmX345Y274,5
1kmX345Y275,5
1kmX345Y276,5
1kmX345Y278,52
1kmX345Y279,5
1kmX345Y280,5
1kmX345Y285,5
1kmX345Y286,5
1kmX345Y287,5
1kmX345Y288,32
1kmX345Y290,5
1kmX345Y291,15
1kmX345Y292,11
1kmX345Y293,5
1kmX345Y297,5
1kmX345Y298,5
1kmX345Y299,5
1kmX345Y300,5
1kmX345Y326,5
1kmX345Y328,5
1kmX345Y332,5
1kmX345Y333,5
1kmX345Y337,5
1kmX345Y338,5
1kmX345Y342,18
1kmX345Y343,5
1kmX345Y344,5
1kmX345Y345,5
1kmX345Y346,24
1kmX345Y347,5
1kmX346Y245,5
1kmX346Y247,5
1kmX346Y248,5
1kmX346Y249,5
1kmX346Y250,5
1kmX346Y252,5
1kmX346Y253,12
1kmX346Y254,12
1kmX346Y257,5
1kmX346Y258,5
1kmX346Y260,5
1kmX346Y261,25
1kmX346Y263,5
1kmX346Y264,128
1kmX346Y265,13
1kmX346Y268,5
1kmX346Y269,5
1kmX346Y272,5
1kmX346Y274,5
1kmX346Y275,5
1kmX346Y276,5
1kmX346Y277,5
1kmX346Y278,116
1kmX346Y279,5
1kmX346Y280,5
1kmX346Y284,5
1kmX346Y286,5
1kmX346Y287,5
1kmX346Y288,5
1kmX346Y289,5
1kmX346Y290,5
1kmX346Y291,5
1kmX346Y293,5
1kmX346Y294,5
1kmX346Y297,5
1kmX346Y298,5
1kmX346Y318,5
1kmX346Y320,5
1kmX346Y339,5
1kmX346Y343,5
1kmX346Y344,5
1kmX346Y345,244
1kmX346Y346,5
